IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,15.33,,,12.69,,18.25,15.33 [12.69 – 18.25],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,15.84,,,11.79,,19.27,15.84 [11.79 – 19.27],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,16.44,,,12.78,,20.2,16.44 [12.78 – 20.2],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,16.70,,,13.14,,20.25,16.7 [13.14 – 20.25],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,17.82,,,14.56,,21.43,17.82 [14.56 – 21.43],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,27.21,,,21.87,,32.61,27.21 [21.87 – 32.61],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,7.40,,,5.91,,9.21,7.4 [5.91 – 9.21],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,15.37,,,12.95,,17.93,15.37 [12.95 – 17.93],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,15.85,,,11.77,,19.02,15.85 [11.77 – 19.02],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,16.51,,,12.94,,20.12,16.51 [12.94 – 20.12],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,16.70,,,13.21,,20.05,16.7 [13.21 – 20.05],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,17.79,,,14.56,,21.34,17.79 [14.56 – 21.34],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,26.95,,,21.67,,32.28,26.95 [21.67 – 32.28],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2018,false,Sex,Both sexes,BTSX,,,,,,,,,,7.75,,,6.39,,9.36,7.75 [6.39 – 9.36],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,15.72,,,11.81,,18.63,15.72 [11.81 – 18.63],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,15.75,,,13.61,,17.91,15.75 [13.61 – 17.91],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,16.63,,,13.03,,19.98,16.63 [13.03 – 19.98],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,16.72,,,13.35,,19.85,16.72 [13.35 – 19.85],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,17.56,,,14.43,,21.07,17.56 [14.43 – 21.07],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,26.88,,,21.61,,32.21,26.88 [21.61 – 32.21],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2017,false,Sex,Both sexes,BTSX,,,,,,,,,,8.08,,,6.97,,9.48,8.08 [6.97 – 9.48],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,15.80,,,11.85,,18.49,15.8 [11.85 – 18.49],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,15.91,,,14.03,,17.8,15.91 [14.03 – 17.8],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,16.80,,,13.37,,19.96,16.8 [13.37 – 19.96],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,16.87,,,13.58,,19.83,16.87 [13.58 – 19.83],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,17.81,,,14.74,,21.24,17.81 [14.74 – 21.24],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,26.96,,,21.67,,32.33,26.96 [21.67 – 32.33],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2016,false,Sex,Both sexes,BTSX,,,,,,,,,,8.52,,,7.48,,9.78,8.52 [7.48 – 9.78],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,15.78,,,14.13,,17.48,15.78 [14.13 – 17.48],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,16.00,,,12.02,,18.55,16 [12.02 – 18.55],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,16.93,,,13.47,,19.88,16.93 [13.47 – 19.88],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,16.96,,,13.71,,19.78,16.96 [13.71 – 19.78],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,17.96,,,14.84,,21.46,17.96 [14.84 – 21.46],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,26.67,,,21.46,,31.89,26.67 [21.46 – 31.89],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,9.18,,,8.15,,10.39,9.18 [8.15 – 10.39],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,15.97,,,14.46,,17.51,15.97 [14.46 – 17.51],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,16.37,,,12.23,,18.91,16.37 [12.23 – 18.91],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,17.20,,,13.92,,19.92,17.2 [13.92 – 19.92],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,17.26,,,13.79,,20.01,17.26 [13.79 – 20.01],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,17.99,,,14.87,,21.56,17.99 [14.87 – 21.56],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,26.57,,,21.39,,31.75,26.57 [21.39 – 31.75],,,EN,2021-02-09 00:00:00
RS_198,Estimated road traffic death rate (per 100 000 population),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2014,false,Sex,Both sexes,BTSX,,,,,,,,,,9.70,,,8.65,,10.78,9.7 [8.65 – 10.78],,,EN,2021-02-09 00:00:00
